"module name","licenses","repository","licenseUrl","parents"
"jest-serializer@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-snapshot@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-util@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-validate@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-watcher@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest-worker@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","fire-uach"
"jest@24.9.0","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest","fire-uach"
"jpegtran-bin@4.0.0","MIT","https://github.com/imagemin/jpegtran-bin","https://github.com/imagemin/jpegtran-bin/raw/master/license","fire-uach"
"js-cookie@2.2.1","MIT","https://github.com/js-cookie/js-cookie","https://github.com/js-cookie/js-cookie/raw/master/LICENSE","fire-uach"
"js-git@0.7.8","MIT","https://github.com/creationix/js-git","https://github.com/creationix/js-git/raw/master/LICENSE","fire-uach"
"js-levenshtein@1.1.6","MIT","https://github.com/gustf/js-levenshtein","https://github.com/gustf/js-levenshtein/raw/master/LICENSE","fire-uach"
"js-tokens@3.0.2","MIT","https://github.com/lydell/js-tokens","https://github.com/lydell/js-tokens/raw/master/LICENSE","babel-code-frame:fire-uach"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens","https://github.com/lydell/js-tokens/raw/master/LICENSE","fire-uach"
"js-yaml@3.13.1","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","fire-uach"
"jsbn@0.1.1","MIT","https://github.com/andyperlitch/jsbn","https://github.com/andyperlitch/jsbn/raw/master/LICENSE","fire-uach"
"jsdom@11.12.0","MIT","https://github.com/jsdom/jsdom","https://github.com/jsdom/jsdom/raw/master/LICENSE.txt","fire-uach"
"jsesc@0.5.0","MIT","https://github.com/mathiasbynens/jsesc","http://mths.be/mit","regjsparser:fire-uach"
"jsesc@2.5.2","MIT","https://github.com/mathiasbynens/jsesc","https://github.com/mathiasbynens/jsesc/raw/master/LICENSE-MIT.txt","fire-uach"
"json-buffer@3.0.0","MIT","https://github.com/dominictarr/json-buffer","https://github.com/dominictarr/json-buffer/raw/master/LICENSE","fire-uach"
"json-parse-better-errors@1.0.2","MIT","https://github.com/zkat/json-parse-better-errors","https://github.com/zkat/json-parse-better-errors/raw/master/LICENSE.md","fire-uach"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","fire-uach"
"json-schema-typed@7.0.3","BSD-2-Clause","https://github.com/typeslick/json-schema-typed","https://github.com/typeslick/json-schema-typed/raw/master/LICENSE","fire-uach"
"json-schema@0.2.3","AFLv2.1,BSD","http://github.com/kriszyp/json-schema","http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L43,http://trac.dojotoolkit.org/browser/dojo/trunk/LICENSE#L13","fire-uach"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe","https://github.com/isaacs/json-stringify-safe/raw/master/LICENSE","fire-uach"
